Iteration,Spatial_Radius,Temporal_Radius,Proportion_of_Observed_Components,RMSE_Background_Full,RMSE_Analysis_Full,RMSE_Background_Only_observed_components,RMSE_Analysis_Only_observed_components
1,1,1,0.7,8.29895265472519,9.06149200796476,8.30601819188649,2.0032420611923
1,1,1,0.8,8.45722879907421,8.55510777260608,8.45163480100937,2.22718219135664
1,1,1,0.9,8.65270005584282,7.18358918278238,8.61603649146518,2.26901351095229
1,1,1,1,8.52611020671175,2.28894799853495,8.52611020671175,2.28894799853495
1,1,2,0.7,8.77105479283768,9.60212872101643,8.76278942076869,2.13268992533148
1,1,2,0.8,8.45537352661526,8.39290836753835,8.4790104712512,1.89440034637331
1,1,2,0.9,8.52955290355941,6.98533163211627,8.51826554735324,2.34260357224907
1,1,2,1,8.53321649630586,2.54923320811005,8.53321649630586,2.54923320811005
1,1,3,0.7,8.62372585211597,9.30910137165483,8.63651867662257,2.0757426005353
